ID,Name,Fee,Lattitude,Longitude
365839893,Видиковец Водно,no,41.9775042,21.4212148
376888383,Максим Горки,yes,41.9962482,21.4280449
386746863,Паркинг МОБ,yes,41.9967331,21.436413
428060078,Волво Визбегово,no,42.0318444,21.4031924
446278123,Беко,yes,41.9934009,21.4262775
471353929,Елида Драчево,no,41.9382379,21.5179837
480473248,Фински парк,no,42.0060489,21.5078737
483351867,Џон Кенеди,no,42.0131109,21.4365368
577538732,Prince Чаир,no,42.0197172,21.4348299
696669607,Џакомо Центар,no,41.9873374,21.4363786
892589214,Веро Центар,yes,41.9928198,21.4415512
918588582,Урбан Парк,yes,41.9881824,21.4314928
960087107,ПМФ,no,42.0029173,21.450455
1226193401,Државен завод за статистика,yes,41.9920661,21.4309792
1226193402,Собрание,yes,41.9921857,21.4325563
1529526890,Бутел 2,no,42.0125693,21.4358034
1691667363,Prince Mall,no,42.0198986,21.4353712
1691667375,Prince 2 Чаир,no,42.020313,21.4348079
1857418133,Григор Прличев - Железара,no,42.0145175,21.4589976
1857486031,Вивалек - Железара,no,42.0114096,21.4594276
1857486059,Спортска Сала - Автокоманда,yes,42.002114,21.4649636
1860283426,Катастар на недвижности,yes,42.0023764,21.4631477
1860564315,Камник - Гази Баба,no,42.0070342,21.4870906
1860583329,Паркинг Пошта,yes,41.9980638,21.4294059
2324290157,ТЦ - Сарај,no,42.0034288,21.3319678
2324290159,УКА - Сарај,no,42.0029006,21.3316782
3208478528,Македонска Куќа,no,41.9953667,21.4031136
3503985936,Паркинг Матка,no,41.9530277,21.2967637
4308211306,Good Gate Mall,yes,41.9846856,21.4386435
4468238061,Последна 23ка Ченто,no,42.0102127,21.5100182
4520496813,Железничка,no,41.9990908,21.4704624
5176232882,Зебра,yes,41.9928749,21.4195536
7878409528,Емил Зола - Лотулс,no,41.9851805,21.439362
7878409529,Флатирон,yes,41.9857686,21.4386404
8561199939,Киро Глигоров - Капиштец,no,41.9929943,21.4138255
8561539939,Очна Болница - Ѓорче Петров,no,42.00459101935784,21.343703501359297
8561132939,Жито - Ѓорче Петров 2,no,42.00734236740613,21.339682678437978
8561146939,Реонски Парк - Ѓорче Петров,no,42.0077913042268,21.362154423714443
8561199439,Паркинг Шидска,no,42.00825583139021,21.360921529974554
8561192639,Поликлиника Ѓорче Петров,no,42.009061820853184,21.362608283354493
8561196939,Св.Петар и Павле,no,42.00929177985285,21.36167045068031
8561193739,Баду Бар - Влае,no,42.00731402294126,21.372464344509133
8561139939,Кино Влае,no,42.0063787588517,21.374313596910913
8561145939,Стаза Кеј - Карпош,no,42.00602515777914,21.380646065726328
8561192739,Тинекс - Карпош 4,no,42.00638394233111,21.38311435525962
8561199009,Антико,no,42.00487722414214,21.384917067743018
8561069939,Skopje City Mall,yes,42.00537013892266,21.392405262645603
8561196139,Џакомо - Карпош 3,no,42.004402604717065,21.39302158379523
8533134939,Capitol Mall,yes,41.986031850416985,21.466808234836098
8532196739,С.Д. Гоце Делчев,no,41.999595641373794,21.389552922087162
8561199379,Базаро - Карпош 3,yes,42.003460427313144,21.39506174995125
8561199879,Лептокарија,yes,42.002997355671965,21.398467526099605
8561199459,Арена Борис Трајковски,yes,42.00980701647136,21.405316067522758
8561195539,Зоолошка Скопје,yes,42.005485807674276,21.41760908975144
8561199679,Градски Парк,yes,42.00461666669687,21.41983492646311
8561199989,Арена Филип II,yes,42.0053550698252,21.424171328542155
8561121939,Holiday Inn,yes,41.99407811756267,21.43715573968067
