ID,Name,Fee,Lattitude,Longitude,Municipality
365839893,Видиковец Водно,no,41.9775042,21.4212148,Водно
376888383,Максим Горки,yes,41.9962482,21.4280449,Центар
386746863,Паркинг МОБ,yes,41.9967331,21.436413,Центар
428060078,Волво Визбегово,no,42.0318444,21.4031924,Визбегово
446278123,Беко,yes,41.9934009,21.4262775,Центар
471353929,Елида Драчево,no,41.9382379,21.5179837,Драчево
480473248,Фински парк,no,42.0060489,21.5078737,Ченто
483351867,Џон Кенеди,no,42.0131109,21.4365368,Чаир
577538732,Prince Чаир,no,42.0197172,21.4348299,Чаир
696669607,Џакомо Центар,no,41.9873374,21.4363786,Центар
892589214,Веро Центар,yes,41.9928198,21.4415512,Центар
918588582,Урбан Парк,yes,41.9881824,21.4314928,Центар
960087107,ПМФ,no,42.0029173,21.450455,Автокоманда
1226193401,Државен завод за статистика,yes,41.9920661,21.4309792,Центар
1226193402,Собрание,yes,41.9921857,21.4325563,Центар
1529526890,Бутел 2,no,42.0125693,21.4358034,Бутел
1691667363,Prince Mall,no,42.0198986,21.4353712,Чаир
1691667375,Prince 2 Чаир,no,42.020313,21.4348079,Чаир
1857418133,Григор Прличев - Железара,no,42.0145175,21.4589976,Железара
1857486031,Вивалек - Железара,no,42.0114096,21.4594276,Железара
1857486059,Спортска Сала - Автокоманда,yes,42.002114,21.4649636,Автокоманда
1860283426,Катастар на недвижности,yes,42.0023764,21.4631477,Автокоманда
1860564315,Камник - Гази Баба,no,42.0070342,21.4870906,Автокоманда
1860583329,Паркинг Пошта,yes,41.9980638,21.4294059,Центар
2324290157,ТЦ - Сарај,no,42.0034288,21.3319678,Сарај
2324290159,УКА - Сарај,no,42.0029006,21.3316782,Сарај
3208478528,Македонска Куќа,no,41.9953667,21.4031136,Козле
3503985936,Паркинг Матка,no,41.9530277,21.2967637,Матка
4308211306,Good Gate Mall,yes,41.9846856,21.4386435,Кисела Вода
4468238061,Последна 23ка Ченто,no,42.0102127,21.5100182,Ченто
4520496813,Железничка,no,41.9990908,21.4704624,Аеродром
5176232882,Зебра,yes,41.9928749,21.4195536,Капиштец
7878409528,Емил Зола - Лотулс,no,41.9851805,21.439362,Кисела Вода
7878409529,Флатирон,yes,41.9857686,21.4386404,Кисела Вода
8561199939,Киро Глигоров - Капиштец,no,41.9929943,21.4138255,Капиштец
8561539939,Очна Болница - Ѓорче Петров,no,42.00459101935784,21.343703501359297,Ѓорче Петров
8561132939,Жито - Ѓорче Петров 2,no,42.00734236740613,21.339682678437978,Ѓорче Петров
8561146939,Реонски Парк - Ѓорче Петров,no,42.0077913042268,21.362154423714443,Ѓорче Петров
8561199439,Паркинг Шидска,no,42.00825583139021,21.360921529974554,Ѓорче Петров
8561192639,Поликлиника Ѓорче Петров,no,42.009061820853184,21.362608283354493,Ѓорче Петров
8561196939,Св.Петар и Павле,no,42.00929177985285,21.36167045068031,Ѓорче Петров
8561193739,Баду Бар - Влае,no,42.00731402294126,21.372464344509133,Влае
8561139939,Кино Влае,no,42.0063787588517,21.374313596910913,Влае
8561145939,Стаза Кеј - Карпош,no,42.00602515777914,21.380646065726328,Карпош 4
8561192739,Тинекс - Карпош 4,no,42.00638394233111,21.38311435525962,Карпош 4
8561199009,Антико,no,42.00487722414214,21.384917067743018,Карпош 4
8561069939,Skopje City Mall,yes,42.00537013892266,21.392405262645603,Карпош 4
8561196139,Џакомо - Карпош 3,no,42.004402604717065,21.39302158379523,Карпош 3
8533134939,Capitol Mall,yes,41.986031850416985,21.466808234836098,Аеродром
8532196739,С.Д. Гоце Делчев,no,41.999595641373794,21.389552922087162,Тафталиџе
8561199379,Базаро - Карпош 3,yes,42.003460427313144,21.39506174995125,Карпош 3
8561199879,Лептокарија,yes,42.002997355671965,21.398467526099605,Карпош 3
8561199459,Арена Борис Трајковски,yes,42.00980701647136,21.405316067522758,Карпош 3
8561195539,Зоолошка Скопје,yes,42.005485807674276,21.41760908975144,Центар
8561199679,Градски Парк,yes,42.00461666669687,21.41983492646311,Центар
8561199989,Арена Филип II,yes,42.0053550698252,21.424171328542155,Центар
8561121939,Holiday Inn,yes,41.99407811756267,21.43715573968067,Центар
